GMT Time Correction = -28800
Lg10 (Conditional) Log:
Rec #,Date ,Time,  Pressure [dBars],       IntTemp [C]
    242,8/12/2012, 19:01:19,             -0.03,              8.59
    243,8/12/2012, 19:01:39,             -0.06,              8.53
    244,8/12/2012, 19:01:59,             -0.13,              8.59
    245,8/12/2012, 19:02:39,             -0.01,              8.48
    246,8/12/2012, 19:02:59,             -0.08,              8.65
    247,8/12/2012, 19:03:19,             -0.03,              8.71
    248,8/12/2012, 19:03:39,             -0.01,              8.77
    249,8/12/2012, 19:03:59,             -0.01,              8.83
    250,8/12/2012, 19:04:19,             -0.06,              8.83
    251,8/12/2012, 19:04:39,             -0.03,              8.71
    252,8/12/2012, 19:04:59,             -0.06,              8.71
    253,8/12/2012, 19:05:19,             -0.06,              8.77
    254,8/12/2012, 19:05:39,             -0.01,              8.53
    255,8/12/2012, 19:05:59,             -0.03,              8.42
    256,8/12/2012, 19:06:19,             -0.08,              8.36
    257,8/12/2012, 19:06:39,             -0.03,              8.48
    258,8/12/2012, 19:07:59,             -0.06,              9.47
    259,8/12/2012, 19:08:19,             -0.03,              9.00
    260,8/12/2012, 19:08:39,             -0.08,              8.83
    261,8/12/2012, 19:13:59,              0.07,             12.11
    262,8/12/2012, 19:15:19,             -0.03,              8.42
    263,8/12/2012, 19:18:39,             -0.08,              8.18
    264,8/12/2012, 19:19:59,             -0.06,              8.18
    265,8/12/2012, 19:21:19,             -0.01,              8.18
    266,8/12/2012, 19:21:39,             -0.03,              8.36
    267,8/12/2012, 19:22:39,              0.49,              7.95
    268,8/12/2012, 19:22:59,             -0.03,              8.24
    269,8/12/2012, 19:23:19,             -0.06,              8.24
    270,8/12/2012, 19:25:59,             -0.01,              8.01
    271,8/12/2012, 19:27:19,              0.02,              7.95
    272,8/12/2012, 19:27:39,             -0.08,              8.18
    273,8/12/2012, 19:28:59,             -0.06,              8.07
    274,8/12/2012, 19:29:59,              0.02,              7.95
    275,8/12/2012, 19:30:19,             -0.03,              8.18
    276,8/12/2012, 19:31:19,              0.04,              8.01
    277,8/12/2012, 19:31:39,             -0.01,              8.24
    278,8/12/2012, 19:31:59,             -0.08,              8.30
    279,8/12/2012, 19:32:19,             -0.01,              8.24
    280,8/12/2012, 19:32:39,             -0.01,              8.24
    281,8/12/2012, 19:32:59,             -0.08,              8.24
    282,8/12/2012, 19:33:19,             -0.03,              8.24
    283,8/12/2012, 19:33:39,              0.02,              8.24
    284,8/12/2012, 19:33:59,             -0.01,              8.24
    285,8/12/2012, 19:34:19,             -0.01,              8.30
    286,8/12/2012, 19:34:39,             -0.03,              8.30
    287,8/12/2012, 19:34:59,             -0.08,              8.24
    288,8/12/2012, 19:35:19,             -0.01,              8.24
    289,8/12/2012, 19:35:39,             -0.08,              8.30
    290,8/12/2012, 19:35:59,             -0.11,              8.30
    291,8/12/2012, 19:36:19,             -0.08,              8.30
    292,8/12/2012, 19:36:39,             -0.06,              8.36
    293,8/12/2012, 19:36:59,             -0.01,              8.30
    294,8/12/2012, 19:37:19,             -0.01,              8.30
    295,8/12/2012, 19:37:39,             -0.03,              8.24
    296,8/12/2012, 19:37:59,             -0.01,              8.24
    297,8/12/2012, 19:38:19,             -0.08,              8.30
    298,8/12/2012, 19:38:39,             -0.01,              8.36
    299,8/12/2012, 19:38:59,             -0.03,              8.30
    300,8/12/2012, 19:39:19,             -0.03,              8.30
    301,8/12/2012, 19:39:39,             -0.06,              8.30
    302,8/12/2012, 19:39:59,             -0.03,              8.30
    303,8/12/2012, 19:40:19,             -0.06,              8.30
    304,8/12/2012, 19:40:39,             -0.03,              8.36
    305,8/12/2012, 19:40:59,             -0.08,              8.30
    306,8/12/2012, 19:41:19,             -0.08,              8.30
    307,8/12/2012, 19:41:39,             -0.08,              8.24
    308,8/12/2012, 19:41:59,             -0.06,              8.36
    309,8/12/2012, 19:42:19,             -0.01,              8.36
    310,8/12/2012, 19:42:39,             -0.01,              8.36
    311,8/12/2012, 19:42:59,             -0.06,              8.24
    312,8/12/2012, 19:43:19,             -0.06,              8.30
    313,8/12/2012, 19:43:39,             -0.03,              8.48
    314,8/12/2012, 19:43:59,             -0.06,              8.42
    315,8/12/2012, 19:44:19,             -0.06,              8.30
    316,8/12/2012, 19:44:39,             -0.06,              8.24
    317,8/12/2012, 19:44:59,             -0.06,              8.42
    318,8/12/2012, 19:45:19,             -0.06,              8.42
    319,8/12/2012, 19:45:39,             -0.03,              8.36
    320,8/12/2012, 19:45:59,              0.02,              8.30
    321,8/12/2012, 19:46:19,             -0.08,              8.30
    322,8/12/2012, 19:46:39,             -0.01,              8.30
    323,8/12/2012, 19:46:59,             -0.06,              8.24
    324,8/12/2012, 19:47:19,             -0.06,              8.24
    325,8/12/2012, 19:47:39,             -0.06,              8.53
    326,8/12/2012, 19:47:59,             -0.03,              8.83
    327,8/12/2012, 19:48:19,             -0.06,              9.94
    328,8/12/2012, 19:48:39,             -0.06,             12.11
    329,8/12/2012, 19:48:59,             -0.06,             14.22
    330,8/12/2012, 19:49:19,             -0.06,             14.92
    331,8/12/2012, 19:49:39,             -0.03,             14.92
    332,8/12/2012, 19:49:59,             -0.08,             14.92
    333,8/12/2012, 19:50:19,             -0.01,             14.92
    334,8/12/2012, 19:50:39,             -0.03,             14.92
    335,8/12/2012, 19:50:59,             -0.13,             12.69
    336,8/12/2012, 19:51:19,             -0.06,              9.94
    337,8/12/2012, 19:51:39,             -0.08,              8.89
    338,8/12/2012, 19:51:59,             -0.03,              8.48
    339,8/12/2012, 19:52:59,             -0.08,              7.89
    340,8/12/2012, 19:53:19,             -0.06,              8.12
    341,8/12/2012, 19:54:39,             -0.01,              8.07
    342,8/12/2012, 19:55:59,             -0.06,              8.01
    343,8/12/2012, 19:57:19,             -0.08,              7.89
    344,8/12/2012, 19:57:39,             -0.08,              8.12
    345,8/12/2012, 19:57:59,             -0.11,              8.24
    346,8/12/2012, 19:59:19,             -0.03,              8.07
    347,8/12/2012, 20:00:39,             -0.08,              7.95
    348,8/12/2012, 20:00:59,             -0.06,              8.12
    349,8/12/2012, 20:02:19,             -0.08,              8.07
    350,8/12/2012, 20:02:39,             -0.03,              8.18
    351,8/12/2012, 20:03:59,             -0.08,              7.89
    352,8/12/2012, 20:04:19,             -0.06,              8.07
    353,8/12/2012, 20:05:39,              0.02,              8.01
    354,8/12/2012, 20:05:59,             -0.08,              8.18
    355,8/12/2012, 20:06:19,             -0.08,              8.18
    356,8/12/2012, 20:06:39,             -0.06,              8.24
    357,8/12/2012, 20:06:59,             -0.08,              8.24
    358,8/12/2012, 20:08:19,             -0.01,              8.01
    359,8/12/2012, 20:09:39,             -0.08,              8.07
    360,8/12/2012, 20:10:59,             -0.06,              8.07
    361,8/12/2012, 20:12:19,             -0.03,              8.07
    362,8/12/2012, 20:13:19,             -0.06,              7.89
    363,8/12/2012, 20:13:39,             -0.11,              8.12
    364,8/12/2012, 20:13:59,             -0.01,              8.18
    365,8/12/2012, 20:14:19,             -0.06,              8.24
    366,8/12/2012, 20:14:39,             -0.03,              8.24
    367,8/12/2012, 20:14:59,             -0.03,              8.24
    368,8/12/2012, 20:15:19,             -0.01,              8.24
    369,8/12/2012, 20:15:39,             -0.01,              8.24
    370,8/12/2012, 20:15:59,             -0.08,              8.24
    371,8/12/2012, 20:16:19,             -0.01,              8.24
    372,8/12/2012, 20:16:39,             -0.01,              8.24
    373,8/12/2012, 20:16:59,             -0.03,              8.24
    374,8/12/2012, 20:17:19,             -0.03,              8.24
    375,8/12/2012, 20:17:39,             -0.03,              8.24
    376,8/12/2012, 20:17:59,             -0.03,              8.24
    377,8/12/2012, 20:18:19,             -0.03,              8.30
    378,8/12/2012, 20:18:39,              0.02,              8.24
    379,8/12/2012, 20:18:59,             -0.08,              8.24
    380,8/12/2012, 20:19:19,              0.02,              8.24
    381,8/12/2012, 20:19:39,             -0.01,              8.24
    382,8/12/2012, 20:19:59,             -0.08,              8.24
    383,8/12/2012, 20:20:19,             -0.06,              8.24
    384,8/12/2012, 20:20:39,             -0.08,              8.24
    385,8/12/2012, 20:20:59,              0.02,              8.24
    386,8/12/2012, 20:21:19,             -0.03,              8.18
    387,8/12/2012, 20:21:39,             -0.03,              8.18
    388,8/12/2012, 20:21:59,             -0.03,              8.24
    389,8/12/2012, 20:22:19,             -0.08,              8.24
    390,8/12/2012, 20:22:39,             -0.06,              8.18
    391,8/12/2012, 20:22:59,             -0.03,              8.24
    392,8/12/2012, 20:23:19,             -0.03,              8.24
    393,8/12/2012, 20:23:39,             -0.13,              8.24
    394,8/12/2012, 20:23:59,             -0.08,              8.24
    395,8/12/2012, 20:24:19,             -0.01,              8.24
    396,8/12/2012, 20:24:39,             -0.08,              8.24
    397,8/12/2012, 20:24:59,             -0.08,              8.30
    398,8/12/2012, 20:25:19,             -0.06,              8.24
    399,8/12/2012, 20:25:39,             -0.08,              8.24
    400,8/12/2012, 20:25:59,             -0.06,              8.24
    401,8/12/2012, 20:26:19,             -0.08,              8.30
    402,8/12/2012, 20:26:39,             -0.03,              8.53
    403,8/12/2012, 20:26:59,             -0.03,              9.06
    404,8/12/2012, 20:27:19,             -0.06,              8.83
    405,8/12/2012, 20:27:39,             -0.01,              8.53
    406,8/12/2012, 20:27:59,             -0.03,              8.42
    407,8/12/2012, 20:28:19,             -0.11,              8.36
    408,8/12/2012, 20:28:39,             -0.08,              8.30
    409,8/12/2012, 20:28:59,             -0.13,              8.42
    410,8/12/2012, 20:29:19,              0.02,              8.53
    411,8/12/2012, 20:29:39,             -0.01,              9.12
    412,8/12/2012, 20:31:39,             -0.06,              9.77
    413,8/12/2012, 20:31:59,             -0.01,              8.94
    414,8/12/2012, 20:32:19,             -0.03,              8.53
    415,8/12/2012, 20:32:39,             -0.01,              8.42
    416,8/12/2012, 20:32:59,             -0.06,              8.36
    417,8/12/2012, 20:33:19,             -0.06,              8.42
    418,8/12/2012, 20:33:39,             -0.03,              8.30
    419,8/12/2012, 20:33:59,             -0.06,              8.36
    420,8/12/2012, 20:34:19,             -0.03,              8.30
    421,8/12/2012, 20:34:59,              0.82,              8.01
    422,8/12/2012, 20:35:19,              0.02,              8.18
    423,8/12/2012, 20:36:39,             -0.01,              8.18
    424,8/12/2012, 20:36:59,             -0.01,              8.24
    425,8/12/2012, 20:37:19,             -0.03,              8.24
    426,8/12/2012, 20:37:39,             -0.03,              8.24
    427,8/12/2012, 20:37:59,             -0.03,              8.30
    428,8/12/2012, 20:38:19,             -0.01,              8.30
    429,8/12/2012, 20:46:39,             -0.01,              7.89
    430,8/12/2012, 20:46:59,             -0.03,              7.71
    431,8/12/2012, 20:47:19,             -0.08,              7.60
    432,8/12/2012, 20:47:39,             -0.08,              7.60
    433,8/12/2012, 20:47:59,             -0.06,              7.54
    434,8/12/2012, 20:48:19,             -0.03,              7.54
    435,8/12/2012, 20:48:39,             -0.08,              7.54
    436,8/12/2012, 20:48:59,             -0.06,              7.54
    437,8/12/2012, 20:49:19,             -0.11,              7.54
    438,8/12/2012, 20:49:39,             -0.08,              7.54
    439,8/12/2012, 20:49:59,             -0.03,              7.54
    440,8/12/2012, 20:50:19,             -0.06,              7.54
    441,8/12/2012, 20:50:39,             -0.06,              7.60
    442,8/12/2012, 20:50:59,             -0.13,              7.60
    443,8/12/2012, 20:51:19,             -0.03,              7.60
    444,8/12/2012, 20:51:39,             -0.03,              7.60
    445,8/12/2012, 20:51:59,             -0.06,              7.54
    446,8/12/2012, 20:52:19,             -0.03,              7.54
    447,8/12/2012, 20:52:39,             -0.01,              7.54
    448,8/12/2012, 20:52:59,             -0.06,              7.60
    449,8/12/2012, 20:53:19,             -0.08,              7.60
    450,8/12/2012, 20:53:39,             -0.08,              7.54
    451,8/12/2012, 20:53:59,              0.02,              7.54
    452,8/12/2012, 20:54:19,             -0.08,              7.54
    453,8/12/2012, 20:54:39,              0.04,              7.54
    454,8/12/2012, 20:54:59,             -0.06,              7.54
    455,8/12/2012, 20:55:19,             -0.06,              7.54
    456,8/12/2012, 20:55:39,             -0.08,              7.54
    457,8/12/2012, 20:55:59,             -0.03,              7.54
    458,8/12/2012, 20:56:19,             -0.08,              7.54
    459,8/12/2012, 20:56:39,             -0.08,              7.60
    460,8/12/2012, 20:56:59,             -0.08,              7.60
    461,8/12/2012, 20:57:19,             -0.03,              7.60
    462,8/12/2012, 20:57:39,             -0.03,              7.60
    463,8/12/2012, 20:57:59,             -0.01,              7.60
    464,8/12/2012, 20:58:19,             -0.08,              7.60
    465,8/12/2012, 20:58:39,             -0.08,              7.54
    466,8/12/2012, 20:58:59,             -0.06,              7.60
    467,8/12/2012, 20:59:19,             -0.11,              7.60
    468,8/12/2012, 20:59:39,             -0.01,              7.60
    469,8/12/2012, 20:59:59,             -0.08,              7.54
    470,8/12/2012, 21:00:19,             -0.03,              7.60
    471,8/12/2012, 21:00:39,             -0.08,              7.60
    472,8/12/2012, 21:00:59,             -0.08,              7.60
    473,8/12/2012, 21:01:19,             -0.11,              7.60
    474,8/12/2012, 21:01:39,             -0.06,              7.60
    475,8/12/2012, 21:01:59,             -0.06,              7.60
    476,8/12/2012, 21:02:39,             -0.06,              7.54
    477,8/12/2012, 21:02:59,             -0.06,              7.54
    478,8/12/2012, 21:03:19,             -0.06,              7.54
    479,8/12/2012, 21:03:39,             -0.11,              7.54
    480,8/12/2012, 21:03:59,             -0.03,              7.54
    481,8/12/2012, 21:04:19,             -0.03,              7.54
    482,8/12/2012, 21:04:39,             -0.06,              7.54
    483,8/12/2012, 21:04:59,             -0.08,              7.54
    484,8/12/2012, 21:05:19,             -0.06,              7.54
    485,8/12/2012, 21:05:39,             -0.06,              7.54
    486,8/12/2012, 21:05:59,             -0.06,              7.54
    487,8/12/2012, 21:06:19,             -0.06,              7.54
    488,8/12/2012, 21:06:39,             -0.01,              7.54
    489,8/12/2012, 21:06:59,             -0.11,              7.54
    490,8/12/2012, 21:07:19,             -0.06,              7.54
    491,8/12/2012, 21:07:39,             -0.11,              7.54
    492,8/12/2012, 21:07:59,             -0.08,              7.54
    493,8/12/2012, 21:08:19,             -0.11,              7.54
    494,8/12/2012, 21:16:39,             -0.06,              9.59
    495,8/12/2012, 21:17:59,             -0.08,              8.01
    496,8/12/2012, 21:19:19,             -0.03,              7.95
