GMT Time Correction = -28800
Lg10 (Conditional) Log:
Rec #,Date ,Time,  Pressure [dBars],       IntTemp [C]
      0,8/12/2012, 14:38:19,             -0.11,             14.92
      1,8/12/2012, 14:38:39,              0.02,             11.11
      2,8/12/2012, 14:38:59,             -0.06,              9.18
      3,8/12/2012, 14:39:19,             -0.01,              8.24
      4,8/12/2012, 14:39:39,             -0.03,              7.71
      5,8/12/2012, 14:39:59,             -0.03,              7.54
      6,8/12/2012, 14:40:19,              0.02,              7.60
      7,8/12/2012, 14:47:59,             -0.06,             11.64
      8,8/12/2012, 14:48:19,             -0.03,              8.94
      9,8/12/2012, 14:48:39,             -0.08,              8.12
     10,8/12/2012, 14:48:59,             -0.01,              7.77
     11,8/12/2012, 14:49:19,             -0.03,              7.60
     12,8/12/2012, 14:49:39,              0.37,              7.54
     13,8/12/2012, 14:49:59,             -0.03,              7.48
     14,8/12/2012, 14:50:19,             -0.08,              7.54
     15,8/12/2012, 14:50:39,             -0.06,              7.71
     16,8/12/2012, 14:52:59,             -0.11,             10.94
     17,8/12/2012, 14:53:19,             -0.03,              8.83
     18,8/12/2012, 14:53:39,             -0.01,              8.01
     19,8/12/2012, 14:53:59,             -0.08,              7.77
     20,8/12/2012, 14:54:19,              0.02,              7.60
     21,8/12/2012, 14:54:39,             -0.06,              7.48
     22,8/12/2012, 14:54:59,             -0.03,              7.42
     23,8/12/2012, 14:55:19,             -0.03,              7.54
     24,8/12/2012, 14:55:39,             -0.01,              7.48
     25,8/12/2012, 14:55:59,             -0.03,              7.36
     26,8/12/2012, 14:56:19,             -0.03,              7.42
     27,8/12/2012, 14:56:39,             -0.03,              7.42
     28,8/12/2012, 14:56:59,             -0.01,              7.42
     29,8/12/2012, 14:57:19,             -0.03,              7.54
     30,8/12/2012, 14:57:39,              0.02,              7.48
     31,8/12/2012, 14:57:59,              0.02,              7.54
     32,8/12/2012, 14:58:19,             -0.03,              7.66
     33,8/12/2012, 14:58:39,             -0.03,              7.54
     34,8/12/2012, 14:58:59,             -0.03,              7.42
     35,8/12/2012, 14:59:19,             -0.01,              7.48
     36,8/12/2012, 14:59:39,              0.02,              7.54
     37,8/12/2012, 14:59:59,             -0.03,              7.54
     38,8/12/2012, 15:00:19,             -0.06,              7.54
     39,8/12/2012, 15:00:39,             -0.03,              7.60
     40,8/12/2012, 15:00:59,              0.04,              7.54
     41,8/12/2012, 15:01:19,             -0.01,              7.54
     42,8/12/2012, 15:01:39,              0.02,              7.54
     43,8/12/2012, 15:01:59,              0.02,              7.48
     44,8/12/2012, 15:02:19,             -0.03,              7.60
     45,8/12/2012, 15:02:39,              0.04,              7.71
     46,8/12/2012, 15:04:59,             -0.06,              9.18
     47,8/12/2012, 15:05:19,             -0.01,              8.12
     48,8/12/2012, 15:05:59,              0.02,              7.95
     49,8/12/2012, 15:06:19,             -0.06,              7.71
     50,8/12/2012, 15:08:39,             -0.08,             10.47
     51,8/12/2012, 15:08:59,              0.02,              8.65
     52,8/12/2012, 15:09:19,             -0.06,              7.89
     53,8/12/2012, 15:09:39,             -0.03,              7.66
     54,8/12/2012, 15:09:59,             -0.03,              7.54
     55,8/12/2012, 15:10:19,             -0.06,              7.54
     56,8/12/2012, 15:10:39,             -0.01,              7.54
     57,8/12/2012, 15:10:59,             -0.03,              7.54
     58,8/12/2012, 15:11:19,             -0.03,              7.71
     59,8/12/2012, 15:11:59,             -0.01,              7.54
     60,8/12/2012, 15:12:19,             -0.03,              7.60
     61,8/12/2012, 15:12:39,             -0.08,              7.48
     62,8/12/2012, 15:12:59,             -0.01,              7.54
     63,8/12/2012, 15:13:19,             -0.01,              7.66
     64,8/12/2012, 15:13:39,             -0.06,              7.77
     65,8/12/2012, 15:13:59,             -0.08,              7.71
     66,8/12/2012, 15:14:19,             -0.08,              7.60
     67,8/12/2012, 15:14:39,             -0.06,              7.66
     68,8/12/2012, 15:14:59,             -0.03,              7.71
     69,8/12/2012, 15:15:19,             -0.03,              7.77
     70,8/12/2012, 15:15:39,             -0.01,              7.77
     71,8/12/2012, 15:15:59,             -0.03,              7.77
     72,8/12/2012, 15:16:19,             -0.06,              7.77
     73,8/12/2012, 15:16:39,             -0.06,              7.77
     74,8/12/2012, 15:16:59,             -0.01,              7.71
     75,8/12/2012, 15:17:19,             -0.03,              7.77
     76,8/12/2012, 15:17:39,             -0.01,              7.66
     77,8/12/2012, 15:17:59,             -0.03,              7.66
     78,8/12/2012, 15:18:19,             -0.03,              7.66
     79,8/12/2012, 15:18:39,             -0.06,              7.71
     80,8/12/2012, 15:22:39,             -0.11,             10.76
     81,8/12/2012, 15:23:19,             -0.03,              8.18
     82,8/12/2012, 15:23:39,             -0.03,              7.83
     83,8/12/2012, 15:23:59,             -0.06,              7.77
     84,8/12/2012, 15:24:39,              0.02,              7.60
     85,8/12/2012, 15:24:59,             -0.03,              7.71
     86,8/12/2012, 15:25:39,             -0.03,              7.71
     87,8/12/2012, 15:25:59,              0.02,              7.71
     88,8/12/2012, 15:26:19,              0.04,              7.71
     89,8/12/2012, 15:26:39,             -0.03,              7.71
     90,8/12/2012, 15:26:59,             -0.03,              7.71
     91,8/12/2012, 15:27:19,             -0.08,              7.77
     92,8/12/2012, 15:27:59,             -0.01,              7.83
     93,8/12/2012, 15:28:39,             -0.06,              7.71
     94,8/12/2012, 15:28:59,             -0.03,              7.77
     95,8/12/2012, 15:29:19,             -0.08,              7.83
     96,8/12/2012, 15:29:59,             -0.03,              9.18
     97,8/12/2012, 15:30:19,             -0.06,              8.24
     98,8/12/2012, 15:30:39,              0.02,              7.83
     99,8/12/2012, 15:30:59,              0.04,              7.66
    100,8/12/2012, 15:31:19,             -0.03,              7.71
    101,8/12/2012, 15:31:39,             -0.06,              7.60
    102,8/12/2012, 15:38:39,              0.54,              7.54
    103,8/12/2012, 15:39:59,              0.04,              7.83
    104,8/12/2012, 15:40:19,             -0.03,              8.12
    105,8/12/2012, 15:41:19,             -0.06,              7.60
    106,8/12/2012, 15:42:59,              0.04,              8.30
    107,8/12/2012, 15:43:19,              0.02,              8.30
    108,8/12/2012, 15:44:59,             -0.03,              7.77
    109,8/12/2012, 15:47:19,             -0.03,              7.66
    110,8/12/2012, 15:48:39,             -0.01,              7.83
    111,8/12/2012, 15:50:59,             -0.06,              7.71
    112,8/12/2012, 15:52:19,             -0.03,              7.83
    113,8/12/2012, 15:53:39,             -0.01,              7.83
    114,8/12/2012, 15:54:39,              0.02,              7.83
    115,8/12/2012, 15:54:59,             -0.08,              7.95
    116,8/12/2012, 15:56:19,             -0.01,              7.89
    117,8/12/2012, 15:58:59,             -0.03,              7.95
    118,8/12/2012, 16:00:19,             -0.01,              7.77
    119,8/12/2012, 16:01:19,             -0.03,              7.83
    120,8/12/2012, 16:01:39,             -0.01,              8.01
    121,8/12/2012, 16:01:59,             -0.03,              8.07
    122,8/12/2012, 16:02:19,             -0.06,              8.01
    123,8/12/2012, 16:03:19,             -0.03,              7.83
    124,8/12/2012, 16:03:39,             -0.03,              8.01
    125,8/12/2012, 16:04:59,              0.02,              7.83
    126,8/12/2012, 16:05:19,             -0.03,              8.01
    127,8/12/2012, 16:05:39,             -0.01,              8.07
    128,8/12/2012, 16:05:59,             -0.03,              7.95
    129,8/12/2012, 16:06:19,              0.02,              8.07
    130,8/12/2012, 16:06:39,             -0.03,              8.18
    131,8/12/2012, 16:06:59,             -0.08,              8.01
    132,8/12/2012, 16:07:19,             -0.03,              8.07
    133,8/12/2012, 16:07:39,             -0.01,              8.12
    134,8/12/2012, 16:07:59,             -0.01,              8.12
    135,8/12/2012, 16:08:19,             -0.01,              8.07
    136,8/12/2012, 16:08:39,             -0.03,              8.12
    137,8/12/2012, 16:08:59,              0.02,              8.12
    138,8/12/2012, 16:09:19,             -0.03,              8.07
    139,8/12/2012, 16:09:39,             -0.01,              8.01
    140,8/12/2012, 16:09:59,             -0.03,              8.07
    141,8/12/2012, 16:10:19,             -0.01,              8.07
    142,8/12/2012, 16:10:39,             -0.01,              8.18
    143,8/12/2012, 16:10:59,              0.02,              8.12
    144,8/12/2012, 16:11:19,             -0.06,              8.12
    145,8/12/2012, 16:11:39,              0.02,              8.24
    146,8/12/2012, 16:11:59,             -0.03,              8.24
    147,8/12/2012, 16:12:19,             -0.03,              8.24
    148,8/12/2012, 16:12:39,             -0.03,              8.12
    149,8/12/2012, 16:12:59,             -0.03,              8.18
    150,8/12/2012, 16:13:19,             -0.03,              8.24
    151,8/12/2012, 16:13:39,             -0.01,              8.24
    152,8/12/2012, 16:13:59,             -0.03,              8.12
    153,8/12/2012, 16:14:19,             -0.06,              8.18
    154,8/12/2012, 16:15:19,             -0.03,              7.66
    155,8/12/2012, 16:16:39,             -0.06,              7.95
    156,8/12/2012, 16:17:39,             -0.03,              7.71
    157,8/12/2012, 16:18:59,              0.02,              7.77
    158,8/12/2012, 16:19:59,             -0.03,              7.71
    159,8/12/2012, 16:21:19,             -0.03,              7.95
    160,8/12/2012, 16:22:19,             -0.03,              7.71
    161,8/12/2012, 16:23:39,              0.02,              7.77
    162,8/12/2012, 16:23:59,             -0.03,              7.95
    163,8/12/2012, 16:24:19,             -0.08,              8.01
    164,8/12/2012, 16:31:39,             -0.06,              7.77
    165,8/12/2012, 16:31:59,             -0.08,              7.83
    166,8/12/2012, 16:32:19,             -0.06,              7.77
    167,8/12/2012, 16:32:39,              0.02,              7.71
    168,8/12/2012, 16:32:59,             -0.03,              7.71
    169,8/12/2012, 16:33:19,             -0.08,              7.95
    170,8/12/2012, 16:33:39,             -0.06,              8.12
    171,8/12/2012, 16:33:59,             -0.03,              8.01
    172,8/12/2012, 16:34:19,             -0.03,              8.12
    173,8/12/2012, 17:46:39,             -0.01,              7.36
    174,8/12/2012, 17:48:39,             -0.08,              7.36
    175,8/12/2012, 17:49:39,             -0.06,              7.25
    176,8/12/2012, 17:51:39,             -0.01,              7.36
    177,8/12/2012, 17:52:19,              0.12,              7.30
    178,8/12/2012, 17:53:19,             -0.03,              7.42
    179,8/12/2012, 17:54:19,             -0.01,              7.30
    180,8/12/2012, 17:55:19,             -0.03,              7.30
    181,8/12/2012, 17:58:39,             -0.03,              7.48
    182,8/12/2012, 17:59:39,             -0.08,              7.42
    183,8/12/2012, 18:00:39,             -0.11,              7.42
    184,8/12/2012, 18:01:59,             -0.03,              7.48
    185,8/12/2012, 18:02:59,             -0.06,              7.36
    186,8/12/2012, 18:03:59,             -0.06,              7.54
    187,8/12/2012, 18:04:59,             -0.03,              7.42
    188,8/12/2012, 18:05:39,             -0.06,              7.36
    189,8/12/2012, 18:05:59,             -0.01,              7.66
    190,8/12/2012, 18:06:19,             -0.01,              7.83
    191,8/12/2012, 18:06:39,             -0.08,              7.89
    192,8/12/2012, 18:11:39,             -0.03,              7.95
    193,8/12/2012, 18:11:59,             -0.01,              7.71
    194,8/12/2012, 18:12:19,             -0.06,              7.71
    195,8/12/2012, 18:31:59,             -0.11,             14.92
    196,8/12/2012, 18:32:19,             -0.06,             14.34
    197,8/12/2012, 18:32:39,             -0.11,             10.23
    198,8/12/2012, 18:32:59,              0.02,              8.59
    199,8/12/2012, 18:33:19,              0.04,              8.01
    200,8/12/2012, 18:33:39,             -0.06,              7.77
    201,8/12/2012, 18:33:59,             -0.06,              8.24
    202,8/12/2012, 18:34:19,             -0.11,              9.77
    203,8/12/2012, 18:34:39,             -0.11,             11.29
    204,8/12/2012, 18:34:59,             -0.06,             12.28
    205,8/12/2012, 18:35:19,             -0.08,             13.10
    206,8/12/2012, 18:35:39,             -0.06,             13.69
    207,8/12/2012, 18:35:59,             -0.08,             14.04
    208,8/12/2012, 18:36:19,             -0.08,             14.28
    209,8/12/2012, 18:36:39,             -0.01,             14.51
    210,8/12/2012, 18:36:59,             -0.08,             14.63
    211,8/12/2012, 18:37:19,             -0.06,             14.69
    212,8/12/2012, 18:37:39,             -0.06,             14.75
    213,8/12/2012, 18:41:39,             -0.03,              8.07
    214,8/12/2012, 18:42:59,              0.02,              8.12
    215,8/12/2012, 18:44:19,             -0.06,              8.07
    216,8/12/2012, 18:44:39,             -0.01,              8.18
    217,8/12/2012, 18:44:59,             -0.06,              8.30
    218,8/12/2012, 18:45:19,             -0.06,              8.30
    219,8/12/2012, 18:45:39,             -0.03,              8.24
    220,8/12/2012, 18:45:59,             -0.03,              8.30
    221,8/12/2012, 18:46:19,             -0.06,              8.30
    222,8/12/2012, 18:51:59,             -0.06,             11.11
    223,8/12/2012, 18:52:19,             -0.03,              8.89
    224,8/12/2012, 18:52:39,             -0.03,              8.12
    225,8/12/2012, 18:52:59,             -0.03,              7.77
    226,8/12/2012, 18:53:19,             -0.16,              7.77
    227,8/12/2012, 18:53:39,              0.04,              7.71
    228,8/12/2012, 18:53:59,             -0.08,              7.66
    229,8/12/2012, 18:55:19,             -0.03,              7.54
    230,8/12/2012, 18:56:39,             -0.01,              7.54
    231,8/12/2012, 18:56:59,             -0.08,              7.54
    232,8/12/2012, 18:57:19,             -0.03,              7.60
    233,8/12/2012, 18:57:39,             -0.11,              7.66
    234,8/12/2012, 18:58:39,              0.02,              8.77
    235,8/12/2012, 18:58:59,             -0.08,              8.83
    236,8/12/2012, 18:59:19,             -0.08,              8.53
    237,8/12/2012, 18:59:39,              0.02,              8.48
    238,8/12/2012, 18:59:59,             -0.06,              8.48
    239,8/12/2012, 19:00:19,             -0.03,              8.53
    240,8/12/2012, 19:00:39,             -0.03,              8.53
    241,8/12/2012, 19:00:59,             -0.03,              8.53
