Datetime,Pressure,Velocity,Motion,Dive
273,1.92,-0.03,BOTT,6
274,1.87,-0.05,BOTT,6
275,1.87,0,BOTT,6
276,1.85,-0.02,BOTT,6
277,1.92,0.07,BOTT,6
278,1.92,0,BOTT,6
279,1.95,0.03,BOTT,6
280,1.87,-0.08,BOTT,6
281,2.02,0.15,BOTT,6
282,1.95,-0.07,BOTT,6
283,2.07,0.12,BOTT,6
284,1.97,-0.1,BOTT,6
285,1.85,-0.12,BOTT,6
286,1.92,0.07,BOTT,6
287,1.92,0,BOTT,6
288,1.92,0,BOTT,6
289,1.92,0,BOTT,6
290,1.92,0,BOTT,6
291,1.82,-0.1,BOTT,6
292,1.95,0.13,BOTT,6
293,1.95,0,BOTT,6
294,1.95,0,BOTT,6
295,2.02,0.07,BOTT,6
296,1.92,-0.1,BOTT,6
297,1.92,0,BOTT,6
298,0.92,-1,ASC,6
299,-0.15,-1.07,SURF,7
309,-0.1,0.005,SURF,7
311,1.2,0.65,DESC,7
312,1.85,0.65,BOTT,7
313,1.92,0.07,BOTT,7
314,1.97,0.05,BOTT,7
315,1.85,-0.12,BOTT,7
316,1.92,0.07,BOTT,7
317,1.95,0.03,BOTT,7
318,1.87,-0.08,BOTT,7
319,1.95,0.08,BOTT,7
320,1.92,-0.03,BOTT,7
321,1.92,0,BOTT,7
322,1.95,0.03,BOTT,7
323,1.92,-0.03,BOTT,7
324,1.97,0.05,BOTT,7
325,1.95,-0.02,BOTT,7
326,2.02,0.07,BOTT,7
327,1.92,-0.1,BOTT,7
328,1.95,0.03,BOTT,7
329,1.92,-0.03,BOTT,7
330,1.95,0.03,BOTT,7
331,1.92,-0.03,BOTT,7
332,1.97,0.05,BOTT,7
333,1.92,-0.05,BOTT,7
334,2.02,0.1,BOTT,7
335,2.02,0,BOTT,7
336,1.92,-0.1,BOTT,7
337,1.87,-0.05,BOTT,7
338,1.87,0,BOTT,7
339,1.8,-0.07,BOTT,7
340,1.95,0.15,BOTT,7
341,1.95,0,BOTT,7
342,1.92,-0.03,BOTT,7
343,1.82,-0.1,BOTT,7
344,1.92,0.1,BOTT,7
345,1.85,-0.07,BOTT,7
346,1.92,0.07,BOTT,7
347,2.02,0.1,BOTT,7
348,1.42,-0.6,ASC,7
349,-0.08,-1.5,SURF,8
359,-0.18,-0.01,SURF,8
369,-0.1,0.008,SURF,8
373,1.32,0.355,DESC,8
374,1.92,0.6,BOTT,8
375,1.92,0,BOTT,8
376,1.95,0.03,BOTT,8
377,1.85,-0.1,BOTT,8
378,1.87,0.02,BOTT,8
379,2.02,0.15,BOTT,8
380,1.97,-0.05,BOTT,8
381,1.95,-0.02,BOTT,8
382,1.97,0.02,BOTT,8
383,2.02,0.05,BOTT,8
384,1.97,-0.05,BOTT,8
385,1.92,-0.05,BOTT,8
386,1.92,0,BOTT,8
387,2.02,0.1,BOTT,8
388,1.95,-0.07,BOTT,8
389,1.87,-0.08,BOTT,8
390,2.02,0.15,BOTT,8
